Quality Alloys;;;
Source and Other Data;;;
May 25, 2008 - August 29, 2009;;;
;;;
;;;
1);All Traffic Sources;;
;;Visits;
;Referring Sites;38.754;
;Search Engines;20.964;
;Direct Traffic;9.709;
;Other;4;
;;;
2);Top Ten Referring Sites;;
;;Visits;
;googleads.g.doubleclick.net;15.626;
;pagead2.googlesyndication.com;8.044;
;sedoparking.com;3.138;
;globalspec.com;693;
;searchportal.information.com;582;
;freepatentsonline.com;389;
;thomasnet.com;379;
;mu.com;344;
;mail.google.com;337;
;psicofxp.com;310;
;;;
3);Top Ten Search Engine Sources of Visits;;
;;Visits;
;google;17.681;
;yahoo;1.250;
;search;592;
;msn;424;
;aol;309;
;ask;268;
;live;145;
;bing;122;
;voila;63;
;netscape;26;
;;;
4);Top Ten Geographic Sources by Sub Continent Region;;
;;Visits;
;South America;22.616;
;Northern America;17.509;
;Central America;6.776;
;Western Europe;5.214;
;Eastern Asia;3.228;
;Northern Europe;2.721;
;Southern Asia;2.589;
;South-Eastern Asia;1.968;
;Southern Europe;1.538;
;Eastern Europe;1.427;
;;;
;;;
5);Top Ten Browsers Used;;
;;Visits;
;Internet Explorer;53.080;
;Firefox;13.142;
;Opera;938;
;Safari;850;
;Chrome;792;
;Mozilla;478;
;Netscape;47;
;Konqueror;31;
;SeaMonkey;24;
;Camino;9;
;;;
;;;
6);Top Ten Operating Systems Used;;
;;Visits;
;Windows ;67.063;
;Macintosh ;1.184;
;Linux ;1.045;
;(not set) ;48;
;iPhone ;29;
;SymbianOS ;20;
;FreeBSD ;18;
;iPod ;8;
;Playstation 3 ;4;
;Playstation Portable ;3;
;;;
;;;
;;;
;;;
