Quality Alloys;;;;;;;;
Weekly Financial Data;;"Initial ""Shakedown"" Period";;;Pre and Post Promotion Periods;;;
May 25, 2008 - August 29, 2009;;Promotion Period;;;are unshaded.;;;
;;;;;;;;
Week (2008-2009);Revenue;Profit;Lbs. Sold;Inquiries;;;;
May 25 - May 31;$480.728;$118.684;16.585;13;;;;
Jun 1 - Jun 7;$641.155;$269.605;18.906;7;;;;
Jun 8 - Jun 14;$890.077;$275.218;28.053;5;;;;
Jun 15 - Jun 21;$552.674;$204.153;19.382;3;;;;
Jun 22 - Jun 28;$750.777;$256.091;24.274;3;;;;
Jun 29 - Jul 5;$553.055;$178.135;15.309;5;;;;
Jul 6 - Jul 12;$274.568;$62.580;8.633;16;;;;
Jul 13 - Jul 19;$619.285;$248.458;17.216;7;;;;
Jul 20 - Jul 26;$674.485;$238.498;17.309;6;;;;
Jul 27 - Aug 2;$762.559;$230.238;24.571;6;;;;
Aug 3 - Aug 9;$479.084;$156.660;14.390;4;;;;
Aug 10 - Aug 16;$528.271;$186.776;17.231;9;;;;
Aug 17 - Aug 23;$540.676;$164.499;13.802;10;;;;
Aug 24 - Aug 30;$768.109;$213.673;26.653;8;;;;
Aug 31 - Sep 6;$403.820;$135.191;12.403;8;;;;
Sep 7 - Sep 13;$388.745;$148.951;11.695;11;;;;
Sep 14 - Sep 20;$622.367;$153.422;26.362;9;;;;
Sep 21 - Sep 27;$456.012;$158.316;15.772;6;;;;
Sep 28 - Oct 4;$951.216;$273.175;31.969;8;;;;
Oct 5 - Oct 11;$534.542;$167.637;15.531;10;;;;
Oct 12 - Oct 18;$537.652;$134.115;19.734;1;;;;
Oct 19 - Oct 25;$623.710;$228.045;17.193;5;;;;
Oct 26 - Nov 1;$764.839;$202.703;22.591;9;;;;
Nov 2 - Nov 8;$315.647;$119.860;8.992;8;;;;
Nov 9 - Nov 15;$610.985;$170.026;19.104;6;;;;
Nov 16 - Nov 22;$563.525;$189.705;21.455;6;;;;
Nov 23 - Nov 29;$555.497;$123.129;18.784;4;;;;
Nov 30 - Dec 6;$432.657;$121.400;14.298;9;;;;
Dec 7 - Dec 13;$488.986;$152.476;17.215;4;;;;
Dec 14 - Dec 20;$689.428;$215.421;27.257;7;;;;
Dec 21 - Dec 27;$343.105;$100.388;11.292;3;;;;
Dec 28 - Jan 3;$605.155;$119.903;20.148;1;;;;
Jan 4 - Jan 10;$407.277;$134.854;16.454;8;;;;
Jan 11 - Jan 17;$405.484;$129.974;12.703;7;;;;
Jan 18 - Jan 24;$519.934;$179.884;26.303;6;;;;
Jan 25 - Jan 31;$614.455;$113.249;22.199;4;;;;
Feb 1 - Feb 7;$516.270;$193.465;16.535;5;;;;
Feb 8 - Feb 14;$297.813;$89.803;7.814;7;;;;
Feb 15 - Feb 21;$692.677;$184.368;28.041;7;;;;
Feb 22 - Feb 28;$897.164;$266.477;31.496;11;;;;
Mar 1 - Mar 7;$417.727;$111.835;10.181;9;;;;
Mar 8 - Mar 14;$326.969;$122.687;9.727;4;;;;
Mar 15 - Mar 21;$326.482;$114.328;18.323;8;;;;
Mar 22 - Mar 28;$508.027;$159.945;17.299;6;;;;
Mar 29 - Apr 4;$413.937;$143.254;13.862;7;;;;
Apr 5 - Apr 11;$422.488;$81.841;19.007;5;;;;
Apr 12 - Apr 18;$376.751;$137.256;23.284;9;;;;
Apr 19 - Apr 25;$410.241;$90.175;17.374;3;;;;
Apr 26 - May 2;$549.750;$138.599;18.195;5;;;;
May 3 - May 9;$268.160;$98.680;9.176;5;;;;
May 10 - May 16;$322.730;$84.806;12.881;7;;;;
May 17 - May 23;$397.140;$112.040;15.524;6;;;;
May 24 - May 30;$370.914;$102.976;15.406;5;;;;
May 31 - Jun 6;$299.425;$89.826;14.536;3;;;;
Jun 7 - Jun 13;$297.326;$106.085;10.397;3;;;;
Jun 14 - Jun 20;$336.762;$110.672;11.054;6;;;;
Jun 21 - Jun 27;$419.302;$100.319;17.855;2;;;;
Jun 28 - Jul 4;$191.172;$46.906;7.197;6;;;;
Jul 5 - Jul 11;$133.967;$32.825;3.826;7;;;;
Jul 12 - Jul 18;$615.713;$166.568;22.821;11;;;;
Jul 19 - Jul 25;$360.033;$121.356;12.758;4;;;;
Jul 26 - Aug 1;$573.918;$187.699;22.325;4;;;;
Aug 2 - Aug 8;$397.550;$124.641;18.566;5;;;;
Aug 9 - Aug 15;$282.045;$75.557;12.294;5;;;;
Aug 16 - Aug 22;$310.116;$82.771;11.293;7;;;;
Aug 23 - Aug 29;$615.950;$206.441;23.762;8;;;;
